"","date","Trump","Cruz","Kasich","Bush","Carson","Christie","Fiorina","Graham","Huckabee","Jindal","Pataki","Paul","Perry","Rubio","Santorum","Walker"
"22",2016-03-31,43.0188412743692,29.9553191229576,18.6099414210049,0,0,0,0,0,0,0,0,0,0,0,0,0
"23",2016-03-29,43.1668094424184,29.8163485682319,18.4123891864165,0,0,0,0,0,0,0,0,0,0,0,0,0
"24",2016-03-27,43.4452449564953,29.4367647320205,18.0248793132089,0,0,0,0,0,0,0,0,0,0,0,0,0
"25",2016-03-26,43.5991741838377,29.236059590233,17.8270360816618,0,0,0,0,0,0,0,0,0,0,0,0,0
"26",2016-03-23,43.9422199072395,28.4603928467078,17.0270987218194,0,0,0,0,0,0,0,0,0,0,0,0,0
"27",2016-03-22,44.0303558183301,28.1657251294865,16.7360706119047,0,0,0,0,0,0,0,0,0,0,0,0,0
"28",2016-03-21,44.0144681891064,27.7380319898767,16.3119120420758,0,0,0,0,0,0,0,0,0,0,0,0,0
"29",2016-03-20,43.9621845014786,27.2733767576203,15.8321743804118,0,0,0,0,0,0,0,0,0,0,8.93393777105997,0,0
"30",2016-03-18,43.818350356149,26.3969057756683,14.9167519003863,0,0,0,0,0,0,0,0,0,0,0,0,0
"31",2016-03-17,43.4414723557336,26.0684512416595,14.5563184347105,0,0,0,0,0,0,0,0,0,0,0,0,0
"32",2016-03-16,42.9777765058009,25.781021650482,14.1928459639983,0,0,0,0,0,0,0,0,0,0,10.7478912518225,0,0
"33",2016-03-13,41.9872108493453,24.6880315971936,13.0131858207513,0,0,0,0,0,0,0,0,0,0,12.0496980268103,0,0
"34",2016-03-12,41.7004232668853,24.2978629498767,12.5836902932592,0,0,0,0,0,0,0,0,0,0,12.4712841816505,0,0
"35",2016-03-09,41.2561907746716,22.9294156554913,11.3279695854466,0,7.1359432897108,0,0,0,0,0,0,0,0,13.6963338874246,0,0
"36",2016-03-06,41.3044196672047,21.6279642515083,10.1886760431462,0,7.44206014816212,0,0,0,0,0,0,0,0,14.8659329023876,0,0
"37",2016-03-02,40.4457824548112,20.3492647579877,8.98558842385542,0,7.82841645059778,0,0,0,0,0,0,0,0,16.300999505954,0,0
"38",2016-02-28,40.0332346994252,19.3993965397208,8.15702777865491,0,8.12378803038104,0,0,0,0,0,0,0,0,17.0175713890942,0,0
"39",2016-02-27,39.7817675675786,19.3047549054485,8.03085498502531,0,8.22459508683276,0,0,0,0,0,0,0,0,16.8422785544795,0,0
"40",2016-02-25,39.6316421716107,18.8252971289046,7.62855663614089,0,8.42475125317939,0,0,0,0,0,0,0,0,16.6864970289664,0,0
"41",2016-02-24,39.7270112523305,18.4455070133636,7.37941155788618,4.54598630927899,8.51750047131874,0,0,0,0,0,0,0,0,16.6253757359924,0,0
"42",2016-02-22,39.271821255904,18.3450217697484,7.10639889688694,0,8.64649791211368,0,0,0,0,0,0,0,0,16.2347124957145,0,0
"43",2016-02-21,38.987188721103,18.3491289213691,6.97576677452237,4.85552598089401,8.66414217860178,0,0,0,0,0,0,0,0,16.0197916770007,0,0
"44",2016-02-17,37.70431463002,18.6266980260353,6.38241538445903,5.17019263257275,8.73247860242277,0,0,0,0,0,0,0,0,15.2198428182347,0,0
"45",2016-02-16,37.4058665675218,18.6780886843637,6.26438789263147,5.23964178435987,8.77446578790693,0,0,0,0,0,0,0,0,15.028275451959,0,0
"46",2016-02-15,37.2971073777854,18.701102053811,6.06024420570386,5.30636503044946,8.82456255877423,0,0,0,0,0,0,0,0,14.8318121657034,0,0
"47",2016-02-14,37.0960788615991,18.7482412495115,5.74655994936049,5.36863751443532,8.7345013168007,0,2.13938075724273,0,0,0,0,0,0,14.8788648019608,0,0
"48",2016-02-11,36.6585561628067,18.7081976806963,5.01077819040348,5.47367411914973,8.52624346371657,0,0,0,0,0,0,0,0,14.8223828234153,0,0
"49",2016-02-10,36.634855181547,18.6814208587014,4.75712621480103,5.44272591077829,8.4458610663921,3.06673218196914,2.15114596503135,0,0,0,0,0,0,14.7395937080117,0,0
"50",2016-02-07,36.6420912530792,18.6042384111463,4.03073399197599,5.23788310894245,8.19428379299258,3.02419849615988,2.15580755195135,0,1.41147990295347,0,0,3.04254051864247,0,14.3936734762653,0.454947736481296,0
"51",2016-02-04,36.4308674141496,18.5328874010302,3.31521754521463,5.11716127948639,8.08380232443213,2.98829198853855,2.1632351517224,0,0,0,0,0,0,14.030824732653,0,0
"52",2016-02-03,36.3549467635487,18.4421547613712,3.1942469861515,5.08228593702579,8.0597069895128,2.97852615479516,2.16678404128713,0,1.62000570605048,0,0,3.00423368112751,0,13.8276327584746,0.503051329183688,0
"53",2016-02-01,36.373250849054,18.1617242347535,3.0722350226715,5.06034841079014,8.0380240821562,2.96293962637313,2.17219631821516,0,1.72247735304391,0,0,2.98424188834473,0,13.2147394592265,0.525096421101123,0
"54",2016-01-31,36.4525563004631,18.0081098318097,3.02397416716245,5.07850469707322,8.04343709338974,2.95679150686687,2.16977551628073,0,1.77496967150083,0,0,2.97542250947192,0,12.8628693596619,0.536391915534778,0
"55",2016-01-30,36.5482992987175,17.8744003786166,2.97801305798534,5.0936893120126,8.03767131826317,2.95125269647369,2.15933843252613,0,1.82850598409505,0,0,2.96779905391747,0,12.549941462399,0.548167939526134,0
"56",2016-01-27,36.8704011460309,17.4741277331826,2.85831790786912,5.11850885474255,7.99113298263142,2.93060792068329,2.11744851354884,0,1.9916396893246,0,0,2.95187295589055,0,11.6222728414905,0.58677239906959,0
"57",2016-01-26,36.9989415725278,17.3654456962056,2.80829941139425,5.15345609286908,8.01247051765739,2.91799095138157,2.10168931195945,0,2.04331872888443,0,0,2.94650439170559,0,11.3084617390896,0.600253035014874,0
"58",2016-01-24,37.2452711308442,17.1464008629847,2.69278811156862,5.2293791035892,8.08043020394374,2.90639898962939,2.08456963351531,0,2.12579030162983,0,0,2.91967554310244,0,10.6944136316105,0.624493604804103,0
"59",2016-01-21,37.2055777309545,17.0288106256428,2.54615814932092,5.33623339553886,8.24712020700586,3.01709907623809,2.16277526053548,0,2.16752366556669,0,0,2.82407818141964,0,10.2460091043992,0.625886145627558,0
"60",2016-01-20,37.237454997954,17.1751207646898,2.53722435413419,5.33616815917121,8.28458321941813,3.08206635268839,2.21421658741821,0,2.18241313378125,0,0,2.79637943432746,0,10.2725157143494,0.612663742496817,0
"61",2016-01-19,37.265803947969,17.1949197352162,2.50545263105727,5.3607112599364,8.3334696896076,3.15763387481451,2.25998401918212,0,2.20714422275117,0,0,2.767586393362,0,10.2181208842749,0.605394341995071,0
"62",2016-01-18,37.2871187543881,17.3573660508403,2.49551636443133,5.32549544061579,8.34097367260259,3.19509364890824,2.29418727474637,0,2.20184219967614,0,0,2.75214337441432,0,10.2668461673073,0.602020267260384,0
"63",2016-01-17,37.3313695654268,17.463150114022,2.47968704160916,5.30447238079435,8.35272558498072,3.23940738209695,2.3267306940521,0,2.20223549079147,0,0,2.74341153971269,0,10.2948782377323,0.604322403065406,0
"64",2016-01-13,37.297586290725,17.830869416969,2.39931416312313,5.25965027942922,8.4813040989288,3.34487785949122,2.41763132710199,0,2.13617625897815,0,0,2.75616556675494,0,10.5972618566425,0.647167837259694,0
"65",2016-01-11,37.2727234726238,17.8757121269323,2.32489493249371,5.28766853759576,8.65121409222053,3.36497553009753,2.42499398750055,0,2.1021206606697,0,0,2.760489140591,0,10.7942190524735,0.673811902938413,0
"66",2016-01-10,37.2565409481736,17.9444184135003,2.29709610053381,5.29214430111774,8.71822893674807,3.38537973798465,2.44169068500289,0,2.089125670311,0,0,2.76232022706636,0,10.882351689664,0.687787101137516,0
"67",2016-01-08,37.2451704149515,17.9332746301948,2.21107469532077,5.32868363923612,8.92100430558093,3.38071975833154,2.42108440714053,0,2.04867011933321,0,0,2.75385355944589,0,11.0731150982088,0,0
"68",2016-01-07,37.2361654043717,17.8996668513727,2.16341382887244,5.34365846582531,9.02109983488712,3.36471912574007,2.39538646901007,0,2.01494297525216,0,0,2.74568717363837,0,11.1740101849775,0.727997425012826,0
"69",2016-01-06,37.2925169686116,17.7227582746273,2.13092690476531,5.3852446778636,9.10760863927459,3.33729545049675,2.35360474392345,0,2.01832891454905,0,0,2.7412713038382,0,11.1848154573139,0.734857719595917,0
"70",2016-01-03,37.2263454146161,17.5285278577018,2.12402841599852,5.36237156034455,9.12178488240194,3.37666578654317,2.30664735996994,0,1.96608753907668,0,0,2.74460945168225,0,11.2282452042266,0.74102287554997,0
"71",2015-12-30,36.9612317230758,17.425213180041,2.14543632199701,5.35419610653514,9.10772109976609,3.47056471343632,2.41027133148803,0,1.9634939078069,0,-0.0197769053025445,2.7237382304494,0,11.2389882384804,0.729801797851886,0
"72",2015-12-23,36.9165731498976,16.4461191785696,2.01531636242893,5.53419632511311,9.54225778845649,3.43093753869728,2.36841613404741,0,1.98279890163415,0,0.0798627852585028,2.69319400697454,0,11.3650763972982,0.761142232438015,0
"73",2015-12-21,36.937902792325,16.2745160776087,2.04776114490936,5.51580195650147,9.56434549296588,3.4420195550844,2.39005568169822,0.70977942373708,2.02433939271024,0,0.105069878485785,2.66366805972253,0,11.2746636494166,0.727387014743386,0
"74",2015-12-20,36.925679306218,16.1954587211321,2.06691375166977,5.48568607651725,9.58705154909155,3.44740317613357,2.4152914367522,0.69086963136782,2.03762548320097,0,0.116944794888021,2.65005192986948,0,11.2330706670015,0.699817492691476,0
"75",2015-12-17,36.6828592809258,15.7158898291078,2.13966084041628,5.40982445276319,9.94853277095482,3.42207228764444,2.47177288033049,0.630049636664253,2.06592997450382,0,0.14947114866536,2.58136631593571,0,11.325343859254,0.620935167284046,0
"76",2015-12-16,36.5343573375178,15.5165936341704,2.15051295447894,5.38892972509484,10.1563860849045,3.393999368804,2.479677298683,0.608948092099125,2.0684954175431,0,0.159284650337194,2.55789159582672,0,11.3923790503905,0.602991547356841,0
"77",2015-12-15,36.4017767331588,15.3800821799826,2.15663201018348,5.36337292275331,10.307021307315,3.383960617232,2.50192326043594,0.587790671550362,2.06662771371424,0,0.168621349582534,2.53793330861841,0,11.4296366095506,0.57673056842571,0
"78",2015-12-13,36.0617848281234,14.9922568422895,2.18168156348523,5.32252265325476,10.7988954304505,3.30986024029509,2.52064057025854,0.546144664651978,2.06984541597631,0,0.186014971002837,2.48980264720755,0,11.5775788498963,0.522949915807237,0
"79",2015-12-09,35.4198314776631,14.0538282284074,2.20433126268938,5.24820361761587,11.9462363599234,3.09456298988707,2.51530904431666,0.469042906394116,2.05686057171298,0,0.21362181350377,2.38852572999233,0,11.9029256247624,0.424190610336653,0
"80",2015-12-08,35.2232558481552,13.8311365215591,2.2121081394209,5.2150888405392,12.2700143923168,3.04053078879885,2.50276035448368,0.450846379149798,2.05575319781917,0,0.215199167219664,2.36216440332509,0,12.0100532287162,0.40078218200035,0
